"买了送亲戚的，让大家尝尝南方的经典口味。五芳斋礼盒装粽子，有猪肉，蛋黄，猪肉，豆沙，赤豆等5种口味儿，每样两个独立真空包装蒸煮10分钟即可使用，鲜香软糯。拆开吃了口感还是非常的好，颜色也比较正，鸭蛋中蛋黄也比较有一色着微黄并带红色并且个非常大。糯米很黏，口感很好，鲜肉味的粽子味道很好。
包装不错物流很快。",2020-06-01
江浙特产，经常吃的，这次买了送亲戚的，让大家尝尝南方的经典口味。五芳斋礼盒装粽子，有猪肉，蛋黄，猪肉，豆沙，赤豆等5种口味儿，每样两个独立真空包装蒸煮10分钟即可使用，鲜香软糯。拆开吃了口感还是非常的好，颜色也比较正，鸭蛋中蛋黄也比较有一色着微黄并带红色并且个非常大。糯米很黏，口感很好，鲜肉味的粽子味道很好。 包装不错物流很快。,2020-06-17
经常吃的，这次端午节买了一大批送亲戚朋友的，让大家尝尝南方的经典口味。五芳斋礼盒装粽子，有猪肉，蛋黄，猪肉，豆沙，赤豆等5种口味儿，每样两个独立真空包装蒸煮10分钟即可使用，鲜香软糯。拆开吃了口感还是非常的好，颜色也比较正，鸭蛋中蛋黄也比较有一色着微黄并带红色并且个非常大。糯米很黏，口感很好，鲜肉味的粽子味道很好。 包装不错物流很快。,2020-06-21
又是一年端午到，粽香艾香满街漂，五芳斋粽子以糯而不糊，肥而不腻、香糯可口、咸甜适中的特色被誉为粽子大王。口感不错，五芳斋的肉粽好吃，蛋黄粽更好吃&hellip;&hellip;物流速度非常快，价格也很合适，比起前几年来说价格回落到正常水平,2020-06-10
京东自营多快好省，东西总体感觉很不错，糯米很粘，口感很好。鲜肉味的粽子的味道很好，豆沙的棕子甜味也很适中，枣味的棕子枣的味道相对差一点点，包装不错，送人也还可以。总体来说，从外观到内里，都很不错。价格也相对适中，速度快，服务好，给京东物流点赞！推荐！！,2020-06-13
"非常不错！东西总体感觉很不错，糯米很粘，口感很好。鲜肉味的粽子的味道很好，豆沙的棕子甜味也很适中，枣味的棕子枣的味道相对差一点点。包装也很好，买了一些送给亲戚，尝尝南方的粽子。总体来说，从外观到内里，都很不错。价格也相对适中，优惠的时候买的。需要的话以后会继续买的。
京东的送货速度超快，赞！",2020-05-30
非常不错，买了一大批送亲戚朋友，都尝尝江浙的味道！东西总体感觉很不错，糯米很粘，口感很好。鲜肉味的粽子的味道很好，豆沙的棕子甜味也很适中，枣味的棕子枣的味道相对差一点点。包装也很好，买了一些送给亲戚，尝尝南方的粽子。总体来说，从外观到内里，都很不错。价格也相对适中，优惠的时候买的。需要的话以后会继续买的。 京东的送货速度超快，赞！,2020-06-19
五芳斋的粽子早有耳闻了，看评价都很好，老牌子，吃着放心。京东做活动买的，两箱，很划算，十个粽子各种口味的都有，还送四个鸭蛋，给爸妈买的，他们很喜欢吃。宝宝第一次吃粽子，也很喜欢，黏黏糯糯的，味道也不错。肉的还没有吃，红枣的枣也挺大的。,2020-06-07
非常不错，买了很多送给分散在各地的亲戚朋友，让大家尝尝江浙的味道！东西总体感觉很不错，糯米很粘，口感很好。鲜肉味的粽子的味道很好，豆沙的棕子甜味也很适中，枣味的棕子枣的味道相对差一点点。包装也很好，买了一些送给亲戚，尝尝南方的粽子。总体来说，从外观到内里，都很不错。价格也相对适中，优惠的时候买的。需要的话以后会继续买的。 京东的送货速度超快，赞！,2020-06-13
非常不错，买了很多送亲戚朋友！东西总体感觉很不错，糯米很粘，口感很好。鲜肉味的粽子的味道很好，豆沙的棕子甜味也很适中，枣味的棕子枣的味道相对差一点点。包装也很好，买了一些送给亲戚，尝尝南方的粽子。总体来说，从外观到内里，都很不错。价格也相对适中，优惠的时候买的。需要的话以后会继续买的。 京东的送货速度超快，赞！,2020-06-11
